job name,job type,salary range,salary min,salary max,skills requirements,education requirements,experience requirements,another requirements,province,city,district,company name,company industry,company size,last post,post time,obtained,url
Data Scientist,Kontrak · Kerja di kantor,Unspecified,,,"SPSS Statistics, TensorFlow, Python, SQL, Sentiment Analytics, Forecasting, Large Language Model, PyTorch, LLM, Machine Learning",Minimal Sarjana (S1),1 - 3 tahun pengalaman,,DKI Jakarta,Jakarta Selatan,Tebet,PT Neural Technologies Indonesia (Official),Information Technology and Services,51 - 200 karyawan,5 bulan yang lalu,2024-11-13 19:41:45,2025-04-13 19:41:45,https://glints.com/id/opportunities/jobs/data-scientist/ae8e2798-2607-43df-b202-e183c4d87ade?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Scientist,Penuh Waktu · Hybrid,IDR7.000.000 - 10.000.000/Bulan,7000000.0,10000000.0,"Python, SQL, Amazon Web Services (AWS)",Minimal Sarjana (S1),1 - 3 tahun pengalaman,,DI Yogyakarta,Kab. Sleman,Kapanewon Depok,JALA,Fishery,51 - 200 karyawan,1 bulan yang lalu,2025-03-13 19:41:49,2025-04-13 19:41:49,https://glints.com/id/opportunities/jobs/data-scientist/0c69ff60-e8a9-48ed-86af-8553138ad216?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Scientist,Penuh Waktu · Kerja di kantor,IDR4.900.000 - 8.000.000/Bulan,4900000.0,8000000.0,"Data Analytics, Python, SQL, Machine Learning",Minimal Sarjana (S1),3 - 5 tahun pengalaman,,Banten,Tangerang Selatan,Ciputat,PlusPro QS,Construction,11 - 50 karyawan,19 hari yang lalu,2025-03-25 19:41:52,2025-04-13 19:41:52,https://glints.com/id/opportunities/jobs/data-scientist/e0f0c337-83e6-4bff-a289-cc7993d4af5c?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Lead of Data Scientist,Kontrak · Kerja di kantor,IDR10.000.000 - 14.000.000/Bulan,10000000.0,14000000.0,"SQL Query, Python, Data Analytics, Team Leadership, SQL, Machine Learning",Minimal Sarjana (S1),5 - 10 tahun pengalaman,,Jawa Timur,Surabaya,Gayungan,PT Sarana Maju Lestari,Telecommunications,51 - 200 karyawan,25 hari yang lalu,2025-03-19 19:41:59,2025-04-13 19:41:59,https://glints.com/id/opportunities/jobs/lead-of-data-scientist/3c65545d-6543-46e7-8534-8d50f6df6604?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Full Stack Data Scientist,Kontrak · Kerja di kantor,IDR20.000.000 - 25.000.000/Bulan,20000000.0,25000000.0,"IT Security, Cloud Computing, Power BI, Amazon Web Services (AWS), Python, Data Analytics, Machine Learning, SQL",Minimal Sarjana (S1),3 - 5 tahun pengalaman,25-54 tahun,DKI Jakarta,Jakarta Selatan,Mampang Prapatan,Skolla EdTech,E-Learning,51 - 200 karyawan,27 hari yang lalu,2025-03-17 19:42:01,2025-04-13 19:42:01,https://glints.com/id/opportunities/jobs/full-stack-data-scientist/a3b71624-9db5-47f5-9758-1c39398f7c7e?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Lead Data Scientist/Senior Analytics Specialist,Penuh Waktu · Kerja di kantor,IDR8.000.000 - 15.000.000/Bulan,8000000.0,15000000.0,"Ai Applications, Research And Innovation, Machine Learning, TensorFlow, Predictive Analytics, Data Visualization And Reporting, SQL, Cross-Functional Collaboration, Scikit-learn, Customer Insights, Marketing Intelligence, Python",Minimal Sarjana (S1),5 - 10 tahun pengalaman,,DKI Jakarta,Jakarta Selatan,Setiabudi,Greater Group Indonesia,Design,11 - 50 karyawan,19 hari yang lalu,2025-03-25 19:42:07,2025-04-13 19:42:07,https://glints.com/id/opportunities/jobs/lead-data-scientist-senior-analytics-specialist/708f1363-347e-4597-b533-805c6d9f5e85?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Penuh Waktu · Kerja di kantor,Unspecified,,,"English Language, Python, SQL, A/B Testing",Minimal Sarjana (S1),3 - 5 tahun pengalaman,,DKI Jakarta,Jakarta Selatan,Setiabudi,Glints,Human Resources,501 - 1000 karyawan,6 hari yang lalu,2025-04-07 19:42:13,2025-04-13 19:42:13,https://glints.com/id/opportunities/jobs/data-analyst/b4b2ffda-bfc9-42b4-b3d1-774783098fc4?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
DATA ANALYST,Penuh Waktu · Kerja di kantor,IDR2.500.000 - 3.000.000/Bulan,2500000.0,3000000.0,"Meta Ads, Data Entry, Data Analytics, Data Management, Statistical Data Analysis",Minimal Diploma (D1 - D4),Pengalaman kurang dari 1 tahun,20-35 tahun,Jawa Timur,Kab. Sidoarjo,Taman,Potensi Insan Berdaya,Human Resources,51 - 200 karyawan,4 hari yang lalu,2025-04-09 19:42:18,2025-04-13 19:42:18,https://glints.com/id/opportunities/jobs/data-analyst/c0304af2-fb23-47ff-93f6-cebb662c5095?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analis,Penuh Waktu · Kerja di kantor,IDR4.000.000 - 4.500.000/Bulan,4000000.0,4500000.0,"Microsoft Excel, Data Analytics, Power BI, Statistical Data Analysis, SQL",Minimal Sarjana (S1),1 - 3 tahun pengalaman,22-30 tahun,Jawa Timur,Surabaya,Sambikerep,CV Manusia Wangi Sepanjang Hari,Apparel & Fashion,51 - 200 karyawan,5 hari yang lalu,2025-04-08 19:42:22,2025-04-13 19:42:22,https://glints.com/id/opportunities/jobs/data-analis/6e915bc1-22e7-4756-a6f8-7be60cff966c?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
Data Analyst,Penuh Waktu · Kerja di kantor,IDR3.500.000 - 4.000.000/Bulan,3500000.0,4000000.0,"Microsoft Excel, Power BI, Perangkat Lunak Visualisasi Data, Manajemen Database Sql Server, Google Sheets",Minimal Sarjana (S1),1 - 3 tahun pengalaman,22-35 tahun,Jawa Timur,Surabaya,Mulyorejo,CV Tamma Robah Indonesia,Food Production,201 - 500 karyawan,4 hari yang lalu,2025-04-09 19:42:25,2025-04-13 19:42:25,https://glints.com/id/opportunities/jobs/data-analyst/2341aedf-4223-4533-9ae7-3667a912f0eb?utm_referrer=explore&traceInfo=5026c52d-07cd-405c-83ef-6de78f1ac4f9
